Handle,ColdBent
2E47,28.3096
2E4D,32.728
2E53,37.0199
2E59,41.1532
2E5F,32.4398
2E65,5.9468
2E6B,0.0015
2E71,0.0022
2E77,0.0026
2E7D,0.0019
2E83,0.0008
2E89,0.0008
2E8F,0.0023
2E95,0.002
2E9B,0.0008
2EA1,0.0003
2EA7,0.0004
2EAD,0.0004
2EB3,0.0005
2EB9,0.0005
2EBF,0.0006
2EC5,0.0006
2ECB,0.0006
2ED1,5.9282
2ED9,33.9764
2EDF,40.64
2EE5,36.2945
2EEB,31.7859
2EF1,27.1353
2EF7,22.365
2EFD,17.4964
2F03,12.552
2F09,7.5532
2F0F,2.5217
2F15,2.5226
2F1B,7.5519
2F21,12.5518
2F27,17.5156
2F2D,22.3512
2F33,27.1257
2F39,31.7897
2F3F,36.2943
2F45,40.6382
2F4B,33.979
2F51,1.8507
2F57,0.005
2F5D,0.0038
2F63,0.0024
2F69,0.0017
2F6F,0.002
2F75,0.0021
2F7B,0.0
2F81,0.0015
2F87,0.0017
2F8D,0.0004
2F93,0.0011
2F99,0.002
2F9F,0.0026
2FA5,0.0035
2FAB,0.0041
2FB1,0.005
2FB7,0.0055
2FBD,0.0064
2FC3,1.8234
2FC9,15.9547
2FCF,44.3323
2FD5,39.9623
2FDB,35.3968
2FE1,30.6592
2FE7,25.7737
2FED,20.7658
2FF3,15.66
2FF9,10.4808
2FFF,5.2528
3005,0.0004
300B,5.2528
3011,10.4794
3017,15.6606
301D,20.7603
3023,25.7866
3029,30.6551
302F,35.3959
3035,39.9632
303B,44.3318
3041,15.9561
3047,2.5132
304D,0.008
3053,0.0063
3059,0.0046
305F,0.0041
3065,0.0041
306B,0.0028
3071,0.0
3077,0.0009
307D,0.0011
3083,0.0014
3089,0.0026
308F,0.0039
3095,0.005
309B,0.0062
30A1,0.0073
30A7,0.0086
30AD,0.0096
30B3,2.4965
30B9,18.3993
30BF,43.6882
30C5,39.1064
30CB,34.3112
30D1,29.3358
30D7,24.2086
30DD,18.9573
30E3,13.6095
30E9,8.1933
30EF,2.7356
30F5,2.7365
30FB,8.1919
3101,13.6081
3107,18.9421
310D,24.2226
3113,29.3353
3119,34.3113
311F,39.1065
3125,43.6928
312B,18.3952
3131,3.2473
3137,0.0056
313D,0.0039
3143,0.0032
3149,0.0035
314F,0.0035
3155,0.0012
315B,0.0003
3161,0.0008
3167,0.001
316D,0.0018
3173,0.0028
3179,0.0036
317F,0.0045
3185,0.0053
318B,0.0061
3191,0.0068
3197,3.2432
319D,33.242
31A3,64.451
31A9,57.1059
31AF,49.4756
31B5,41.5993
31BB,33.5202
31C1,25.28
31C7,16.9195
31CD,8.4795
31D3,0.0003
31D9,8.4796
31DF,16.9181
31E5,25.2843
31EB,33.5174
31F1,41.5955
31F7,49.4747
31FD,57.1051
3203,64.4452
3209,33.2492
320F,5.4351
3215,0.0001
321B,0.0004
3221,0.0003
3227,0.0015
322D,0.0015
3233,0.0005
3239,0.0001
323F,0.0004
3245,0.0009
324B,0.001
3251,0.0008
3257,0.0009
325D,0.001
3263,0.001
3269,0.0009
326F,5.4487
3275,31.8434
327B,63.8089
3281,56.0331
3287,47.9424
328D,39.5847
3293,31.0101
3299,22.2686
329F,13.4082
32A5,4.4772
32AB,4.478
32B1,13.4071
32B7,22.271
32BD,30.9981
32C3,39.5939
32C9,47.9449
32CF,56.0327
32D5,63.8025
32DB,31.8516
32E1,5.6513
32E7,0.0009
32ED,0.0005
32F3,0.0011
32F9,0.0021
32FF,0.0008
3305,0.0005
330B,0.0013
3311,0.0002
3317,0.0001
331D,0.0002
3323,0.0005
3329,0.0007
332F,0.001
3335,0.0012
333B,5.669
3341,19.8673
3347,41.7164
334D,36.3201
3353,30.6659
3359,24.7935
335F,18.7471
3365,12.5703
336B,6.3067
3371,0.0005
3377,6.3067
337D,12.5687
3383,18.7545
3389,24.7856
338F,30.6634
3395,36.3203
339B,41.7099
33A1,19.8744
33A7,4.3982
33AD,0.001
33B3,0.0018
33B9,0.0031
33BF,0.003
33C5,0.001
33CB,0.0014
33D1,0.0008
33D7,0.0002
33DD,0.0001
33E3,0.0
33E9,0.0001
33EF,0.0002
33F5,0.0001
33FB,4.4087
344E,23.1325
3454,40.0568
345A,34.4295
3460,28.5332
3466,22.4185
346C,16.1341
3472,9.7289
3478,3.2509
347E,3.2517
3484,9.7279
348A,16.1409
3490,22.4089
3496,28.5334
349C,34.43
34A2,40.0591
34A8,23.1302
34AE,5.4528
34B4,0.0
34BA,0.0016
34C0,0.0024
34C6,0.0009
34CC,0.0003
34D2,0.0009
34D8,0.0005
34DE,0.0005
34E4,0.0005
34EA,0.0006
34F0,0.0008
34F6,0.0006
34FC,5.456
3502,26.2262
3508,38.1312
350E,32.2702
3514,26.1393
351A,19.7929
3520,13.2847
3526,6.6692
352C,0.0003
3532,6.6692
3538,13.2839
353E,19.7835
3544,26.148
354A,32.2698
3550,38.1312
3556,26.2263
355C,1.6275
3562,0.0044
3568,0.0029
356E,0.001
3574,0.0007
357A,0.0018
3580,0.0007
3586,0.0002
358C,0.0011
3592,0.0017
3598,0.0023
359E,0.0029
35A4,0.0034
35AA,0.004
35B0,1.6241
35B6,29.0272
35BC,35.923
35C2,29.8387
35C8,23.4861
35CE,16.9245
35D4,10.2143
35DA,3.4148
35E0,3.4155
35E6,10.2131
35EC,16.9065
35F2,23.5059
35F8,29.8374
35FE,35.9229
3604,29.0273
360A,2.7883
3610,0.005
3616,0.0029
361C,0.0014
3622,0.0024
3628,0.0023
362E,0.0012
3634,0.0007
363A,0.0012
3640,0.0021
3646,0.0026
364C,0.0034
3652,0.004
3658,2.7816
365E,15.1687
3664,39.3958
366A,33.43
3670,27.1382
3676,20.5833
367C,13.8316
3682,6.9486
3688,0.0003
368E,6.9487
3694,13.8284
369A,20.5873
36A0,27.1386
36A6,33.4299
36AC,39.392
36B2,15.1725
36B8,3.9667
36BE,0.002
36C4,0.0005
36CA,0.0004
36D0,0.0022
36D6,0.0015
36DC,0.0006
36E2,0.0002
36E8,0.0004
36EE,0.0006
36F4,0.0009
36FA,0.0009
3700,3.9615
3706,19.093
370C,36.8087
3712,30.6568
3718,24.18
371E,17.4514
3724,10.5428
372A,3.5262
3730,3.527
3736,10.5419
373C,17.4612
3742,24.1713
3748,30.6576
374E,36.8096
3754,19.0918
375A,5.1434
3760,0.002
3766,0.0027
376C,0.0002
3772,0.0008
3778,0.0008
377E,0.0004
3784,0.0009
378A,0.0015
3790,0.0018
3796,0.0024
379C,5.1423
37A2,22.4967
37A8,33.9327
37AE,27.617
37B4,20.987
37BA,14.122
37C0,7.1003
37C6,0.0004
37CC,7.1002
37D2,14.128
37D8,20.9773
37DE,27.6185
37E4,33.933
37EA,22.4963
37F0,1.7395
37F6,0.004
37FC,0.0046
3802,0.0037
3808,0.0007
380E,0.0003
3814,0.0004
381A,0.0013
3820,0.0021
3826,0.003
382C,0.0039
3832,0.0047
3838,1.7428
383E,9.635
3844,36.8408
384A,30.7802
3850,24.336
3856,17.5949
385C,10.6417
3862,3.5614
3868,3.562
386E,10.6399
3874,17.5958
387A,24.3349
3880,30.7805
3886,36.8421
388C,9.6338
3892,2.9862
3898,0.0036
389E,0.0041
38A4,0.0017
38AA,0.0005
38B0,0.0007
38B6,0.0005
38BC,0.0012
38C2,0.0016
38C8,0.0022
38CE,0.0026
38D4,2.9937
38DA,14.0625
38E0,33.5406
38E6,27.3789
38EC,20.8525
38F2,14.0532
38F8,7.0722
38FE,0.0005
3904,7.0721
390A,14.0383
3910,20.867
3916,27.3807
391C,33.543
3922,14.0601
3928,4.1792
392E,0.0022
3934,0.0023
393A,0.0002
3940,0.0007
3946,0.0003
394C,0.0002
3952,0.0001
3958,0.0001
395E,0.0001
3964,4.1872
396A,17.656
3970,29.9843
3976,23.7716
397C,17.2213
3982,10.4295
3988,3.4925
398E,3.4932
3994,10.4302
399A,17.2181
39A0,23.7732
39A6,29.9848
39AC,17.6554
39B2,1.2563
39B8,0.0009
39BE,0.0021
39C4,0.0005
39CA,0.0
39D0,0.0011
39D6,0.0001
39DC,0.0004
39E2,0.0007
39E8,0.0007
39EE,0.0011
39F4,1.267
39FA,20.2393
3A00,26.2196
3A06,20.0192
3A0C,13.5152
3A12,6.8084
3A18,0.0003
3A1E,6.8084
3A24,13.5262
3A2A,20.0088
3A30,26.219
3A36,20.2392
3A3C,2.4768
3A42,0.0016
3A48,0.0017
3A4E,0.0002
3A54,0.0006
3A5A,0.0006
3A60,0.0003
3A66,0.0006
3A6C,0.0009
3A72,0.0011
3A78,2.4833
3A7E,10.983
3A84,28.0584
3A8A,22.3129
3A90,16.2002
3A96,9.8253
3A9C,3.2926
3AA2,3.2933
3AA8,9.8208
3AAE,16.2028
3AB4,22.3148
3ABA,28.0611
3AC0,10.9802
3AC6,3.5706
3ACC,0.0025
3AD2,0.0007
3AD8,0.0
3ADE,0.0006
3AE4,0.0002
3AEA,0.0002
3AF0,0.0003
3AF6,0.0004
3AFC,3.5735
3B04,14.0981
3B0A,23.9676
3B10,18.3495
3B16,12.4114
3B1C,6.2594
3B22,0.0004
3B28,6.2593
3B2E,12.4037
3B34,18.3564
3B3A,23.9675
3B40,14.0981
3B46,1.2127
3B4C,0.004
3B52,0.0033
3B58,0.0005
3B5E,0.0007
3B64,0.0002
3B6A,0.0003
3B70,0.0009
3B76,0.0015
3B7C,0.0019
3B82,1.2156
3B88,5.6455
3B8E,24.8549
3B94,19.8299
3B9A,14.4316
3BA0,8.7662
3BA6,2.94
3BAC,2.9406
3BB2,8.7686
3BB8,14.4265
3BBE,19.8309
3BC4,24.8561
3BCA,5.6442
3BD0,2.2435
3BD6,0.0054
3BDC,0.0026
3BE2,0.0008
3BE8,0.0005
3BEE,0.0003
3BF4,0.0015
3BFA,0.0024
3C00,0.0034
3C06,2.2439
3C0C,8.9874
3C12,20.5219
3C18,15.7553
3C1E,10.678
3C24,5.3916
3C2A,0.0003
3C30,5.3918
3C36,10.6792
3C3C,15.7537
3C42,20.5208
3C48,8.9886
3C4E,3.0593
3C54,0.0028
3C5A,0.0
3C60,0.0001
3C66,0.0001
3C6C,0.0005
3C72,0.0009
3C78,0.0014
3C7E,3.0587
